"Y","X"
-36.85154517,174.754522244
-36.8515456659999,174.754498079
-36.8515077819999,174.754597594
-36.8512182279999,174.75435623
-36.8509021089999,174.75411314
-36.85234278,174.754819608
-36.85234861,174.755100667
-36.852299245,174.754854585
-36.8521220759999,174.754632387
-36.8520811999999,174.754672053
-36.866654576,174.745156343
-36.865512721,174.744546205
-36.861628547,174.749663753
-36.861125848,174.749252526
-36.8615717979999,174.749687505
-36.861451221,174.749654271
-36.861669363,174.749926612
-36.864521582,174.766487859
-36.864349681,174.766297404
-36.865022637,174.768339872
-36.86454513,174.768149339
-36.864211327,174.766134627
-36.8650187439999,174.76833039
-36.856197317,174.763692907
-36.857122407,174.767245513
-36.8573368529999,174.767062575
-36.864477279,174.776787467
-36.8636385899999,174.777033016
-36.8509715019999,174.763052089
-36.851537489,174.762813199
-36.851378358,174.762879887
-36.8506333949999,174.763208104
-36.8630962839999,174.780205859
-36.863290165,174.780492609
-36.864557228,174.758039525
-36.865906249,174.776162618
-36.864642348,174.773938967
-36.864585516,174.773676508
-36.8612168019999,174.780483456
-36.863915678,174.766795013
-36.8513655899999,174.77268654
-36.865309387,174.752054873
-36.864970254,174.768353533
-36.865228553,174.759932786
-36.8618248299999,174.779787436
-36.851540862,174.748813599
-36.851721841,174.748581521
-36.8517667589999,174.748654156
-36.851958872,174.748280617
-36.852223478,174.747936832
-36.851845811,174.748301708
-36.852356608,174.747900751
-36.8521754729999,174.747870676
-36.8523674799999,174.747701345
-36.8525911149999,174.747266428
-36.8525769299999,174.747463557
-36.852455639,174.747370255
-36.8524810129999,174.747483807
-36.8526074,174.747052971
-36.852851078,174.746756272
-36.852916711,174.746793377
-36.852915132,174.746633093
-36.8530183679999,174.746253518
-36.8533096199999,174.745862741
-36.853232976,174.74617734
-36.8531618129999,174.746151386
-36.851494251,174.748877683
-36.851611808,174.748719416
-36.851886962,174.748371848
-36.8522857029999,174.747856368
-36.8526660159999,174.747118178
-36.85301814,174.746438802
-36.853074175,174.746323065
-36.853441674,174.745606579
-36.850860719,174.749700146
-36.8507115859999,174.749893666
-36.8509684219999,174.749716131
-36.8508427429999,174.749570233
-36.850977083,174.749548963
-36.8512344119999,174.74937025
-36.8511520599999,174.749326829
-36.8512420239999,174.749209587
-36.862498279,174.76727029
-36.8625061979999,174.767180285
-36.8567198769999,174.757881139
-36.8652630679999,174.76909695
-36.854633796,174.763497574
-36.854731231,174.763848259
-36.8545642029999,174.7632471
-36.851768604,174.749416672
-36.852945619,174.748335269
-36.852646991,174.748915446
-36.854274905,174.745940768
-36.854521065,174.746050468
-36.8537846479999,174.746709526
-36.854171214,174.745951837
-36.8540290299999,174.746234984
-36.8533903869999,174.747472344
-36.854153734,174.745992442
-36.8524136149999,174.749137833
-36.855581431,174.751381182
-36.855764365,174.751156115
